종목별,현재가,전일비,등락률,거래량,거래대금(백만),시가총액(억)
삼성전자,"269,000",하락 500,-0.19%,"21,010,910","5,629,002","15,726,489"
SK하이닉스,"1,853,000","하락 3,000",-0.16%,"4,375,585","8,098,756","13,536,024"
SK스퀘어,"1,135,000","하락 3,000",-0.26%,"540,428","611,107","1,497,337"
삼성전기,"1,400,000","하락 4,000",-0.28%,"551,943","761,364","1,045,712"
LG에너지솔루션,"365,000","하락 6,000",-1.62%,"404,580","147,573","854,100"
현대차,"389,000","상승 1,000",+0.26%,"600,281","232,456","796,508"
삼성바이오로직스,"1,423,000","하락 29,000",-2.00%,"60,397","85,979","658,720"
삼성생명,"309,500","상승 6,000",+1.98%,"430,627","132,316","619,000"
삼성물산,"379,500","상승 3,500",+0.93%,"470,107","176,095","615,426"
KB금융,"173,400","상승 1,400",+0.81%,"1,305,951","226,139","615,029"
두산에너빌리티,"89,900","하락 1,800",-1.96%,"2,922,572","261,130","575,864"
한화에어로스페이스,"1,067,000","상승 20,000",+1.91%,"181,425","192,219","550,181"
신한지주,"110,300",하락 300,-0.27%,"1,398,309","154,361","517,804"
기아,"127,000",상승 200,+0.16%,"852,205","107,925","495,824"
HD현대중공업,"453,500","하락 10,000",-2.16%,"798,805","373,147","475,999"
삼성SDI,"561,000","하락 13,000",-2.26%,"503,271","283,042","452,085"
SK,"612,000","상승 10,000",+1.66%,"199,536","121,132","443,717"
셀트리온,"180,800","하락 2,300",-1.26%,"739,053","133,743","420,572"
현대모비스,"415,500","하락 2,000",-0.48%,"379,924","157,699","373,205"
하나금융지주,"135,300","상승 1,300",+0.97%,"996,421","134,477","371,220"
LG전자,"206,500","상승 2,000",+0.98%,"661,364","136,480","336,357"
NAVER,"208,000","하락 2,000",-0.95%,"867,123","179,846","316,319"
LS ELECTRIC,"206,000","하락 5,500",-2.60%,"466,643","95,670","309,000"
삼성화재,"647,000","상승 6,000",+0.94%,"190,074","122,691","288,869"
효성중공업,"2,891,000","하락 40,000",-1.36%,"28,038","80,496","269,573"
HD현대일렉트릭,"746,000","하락 5,000",-0.67%,"134,963","100,199","268,912"
POSCO홀딩스,"339,000","상승 2,000",+0.59%,"363,224","122,651","268,629"
한화오션,"85,500","하락 2,600",-2.95%,"954,300","81,675","261,983"
SK이노베이션,"153,100",하락 400,-0.26%,"2,884,492","451,450","258,820"
고려아연,"1,224,000","하락 3,000",-0.24%,"31,291","38,070","255,485"
우리금융지주,"34,000",상승 500,+1.49%,"3,811,303","129,357","250,507"
HD한국조선해양,"351,500","하락 4,500",-1.26%,"263,715","93,091","248,768"
한미반도체,"253,000","상승 2,500",+1.00%,"2,327,335","596,596","241,140"
두산,"1,322,000","상승 23,000",+1.77%,"98,896","128,848","214,082"
메리츠금융지주,"127,400","상승 2,400",+1.92%,"304,461","38,633","213,200"
한국전력,"32,750","하락 1,000",-2.96%,"2,281,555","74,776","210,243"
LG화학,"280,500","하락 4,500",-1.58%,"432,149","122,913","198,012"
HMM,"20,850",보합 0,0.00%,"1,198,243","25,025","196,665"
SK텔레콤,"90,400",하락 900,-0.99%,"1,059,228","95,502","194,170"
HD현대,"245,500","하락 9,500",-3.73%,"279,020","69,246","193,928"
미래에셋증권,"34,750",하락 300,-0.86%,"2,200,084","75,589","188,700"
삼성중공업,"21,350",하락 250,-1.16%,"3,377,347","72,215","187,880"
LG,"118,000","하락 1,100",-0.92%,"492,859","58,092","178,407"
삼성에스디에스,"227,000","상승 2,500",+1.11%,"293,698","66,079","175,648"
KT&G,"169,100",상승 700,+0.42%,"341,777","57,829","175,543"
S-Oil,"154,900","하락 11,000",-6.63%,"1,055,828","165,317","174,391"
포스코퓨처엠,"193,000",상승 900,+0.47%,"429,077","82,296","171,666"
기업은행,"20,500",하락 100,-0.49%,"1,155,279","23,695","163,472"
카카오,"34,900",하락 150,-0.43%,"1,744,306","60,739","154,607"
현대글로비스,"204,000","상승 1,500",+0.74%,"219,435","44,564","153,000"
LIG디펜스앤에어로스페이스,"680,000","상승 10,000",+1.49%,"126,418","85,833","149,600"
현대건설,"131,200","하락 2,400",-1.80%,"662,837","86,151","146,099"
한화시스템,"72,400","상승 1,300",+1.83%,"344,264","24,630","136,778"
현대로템,"123,900","하락 2,200",-1.74%,"493,409","60,772","135,227"
에이피알,"361,000","하락 7,500",-2.04%,"305,675","109,646","135,152"
LG이노텍,"557,000","상승 4,000",+0.72%,"153,859","85,468","131,826"
KT,"52,000","하락 1,100",-2.07%,"728,129","38,082","131,051"
한국항공우주,"133,100","상승 4,000",+3.10%,"341,853","44,892","129,739"
DB손해보험,"186,200",상승 100,+0.05%,"261,394","48,769","121,962"
GS,"117,900","하락 4,200",-3.44%,"858,234","101,917","109,524"
대한항공,"29,550",하락 250,-0.84%,"4,285,655","125,958","108,809"
현대오토에버,"394,500","상승 2,000",+0.51%,"59,974","23,591","108,188"
한국금융지주,"193,400",상승 600,+0.31%,"207,356","39,788","107,774"
HD현대마린솔루션,"229,500","상승 19,000",+9.03%,"236,267","53,606","102,893"
카카오뱅크,"21,350",하락 250,-1.16%,"1,613,451","34,458","101,865"
포스코인터내셔널,"57,300",하락 700,-1.21%,"602,529","34,630","100,804"
LS,"321,500","하락 8,500",-2.58%,"134,585","43,015","100,308"
삼성E&A,"50,400",하락 400,-0.79%,"1,804,840","90,020","98,784"
NH투자증권,"26,300",하락 250,-0.94%,"1,250,411","32,921","97,101"
크래프톤,"208,500",하락 500,-0.24%,"114,449","23,767","95,384"
삼양식품,"1,264,000","하락 1,000",-0.08%,"41,910","52,506","95,217"
한진칼,"136,900","하락 6,600",-4.60%,"184,987","25,174","91,398"
삼성에피스홀딩스,"348,500",상승 500,+0.14%,"45,054","15,555","86,717"
이수페타시스,"113,000",상승 700,+0.62%,"546,522","61,232","82,952"
대우건설,"19,750",상승 300,+1.54%,"8,365,285","160,627","81,154"
아모레퍼시픽,"138,500",상승 200,+0.14%,"163,468","22,484","81,012"
한국타이어앤테크놀로지,"63,100",보합 0,0.00%,"530,140","33,349","78,165"
삼성증권,"87,400",상승 200,+0.23%,"490,040","42,703","78,048"
한화,"138,600","하락 3,400",-2.39%,"123,352","16,981","73,914"
하이브,"171,300","하락 2,900",-1.66%,"234,206","40,012","73,842"
키움증권,"274,500","상승 1,000",+0.37%,"133,856","36,792","71,997"
LG씨엔에스,"72,300",상승 200,+0.28%,"534,764","38,532","70,049"
코웨이,"96,200","하락 1,600",-1.64%,"158,125","15,164","68,078"
한화솔루션,"30,250",하락 550,-1.79%,"2,583,996","78,362","68,030"
HD건설기계,"141,200","하락 1,800",-1.26%,"265,460","37,387","67,666"
카카오페이,"48,450","상승 1,500",+3.19%,"457,727","21,975","65,540"
SK바이오팜,"83,400",하락 400,-0.48%,"215,020","17,845","65,313"
LG유플러스,"14,760",하락 150,-1.01%,"1,204,043","17,804","62,646"
한미약품,"481,500","하락 13,000",-2.63%,"130,632","63,038","61,685"
두산밥캣,"63,000",하락 600,-0.94%,"180,532","11,339","60,389"
산일전기,"196,200","하락 14,300",-6.79%,"521,342","102,418","60,121"
JB금융지주,"31,450",상승 350,+1.13%,"826,840","25,814","58,661"
대한전선,"29,700","하락 1,400",-4.50%,"2,623,411","77,477","58,210"
유한양행,"78,900","하락 1,100",-1.37%,"409,069","32,388","58,083"
한전기술,"145,000","상승 1,900",+1.33%,"755,727","106,385","55,419"
삼성카드,"45,600",하락 350,-0.76%,"160,413","7,301","52,832"
한화생명,"5,980",상승 270,+4.73%,"4,318,466","25,333","51,938"
DB하이텍,"115,200","상승 3,700",+3.32%,"2,344,604","270,974","50,117"
